hote	hot
tsogo	tsv
jakun	jak
kasua	khs
godie	god
hawaiian	haw
san martin quechua	qvs
ejamat	eja
lavrung	jiq
bamukumbit	bqt
old frisian	ofs
simeku	smz
mundu	muh
amganad ifugao	ifa
karawa	xrw
lushootseed	lut
san pedro quiatoni zapotec	zpf
standard french	fra
nhirrpi	hrp
southern ohlone	css
iloko	ilo
timucua	tjm
kankanay	xnn
kangean	kkv
khunsari	kfm
gaam	tbi
classical tibetan	xct
kurama	krh
bhili	bhb
gola	gol
southern altai	alt
larantuka malay	lrt
atohwaim	aqm
duriankere	dbn
korubo	xor
pisabo	pig
paipai	ppi
western maninkakan	mlq
duna	duc
laimbue	lmx
khoekhoe	naq
warrwa	wwr
nila	nil
central mashan miao	hmm
warrgamay	wgy
ngom	nra
kharia thar	ksy
northwestern ojibwa	ojb
ron	cla
sajau basap	sjb
san miguel el grande mixtec	mig
northern ohlone	cst
nupe-nupe-tako	nup
walmajarri	wmt
kayan river kayan	xkn
mittu	mwu
khang	kjm
ngoreme	ngq
poqomam	poc
teluti	tlt
italian	ita
tirahi	tra
muong	mtq
zangskari	zau
corsican	cos
ikizu	ikz
karanga	kth
dubli	dub
hozo	hoz
konyak naga	nbe
hmong do	hmv
batak toba	bbc
busuu	bju
kaiwa	kgk
huastec	hus
asheninka pajonal	cjo
eastern lalu	yit
eastern gorkha tamang	tge
kabwari	kcw
temi	soz
kuuku-ya'u	kuy
emumu	enr
tobanga	tng
cemuhi	cam
lawu	lwu
fungwa	ula
amdo tibetan	adx
tiefo	tiq
sanaani arabic	ayn
ozolotepec zapotec	zao
fala	fax
paafang	pfa
llengua de signes catalana	csc
middle cornish	crx
maung	mph
ikpeng	txi
mbudum	xmd
ngwe	nwe
uare	ksj
eastern krahn	kqo
moingi	mwz
tlhingan-hol	tlh
micmac	mic
siwi	siz
fulnio	fun
nali	nss
cherepon	cpn
iatmul	ian
gweno	gwe
semandang	sdm
andegerebinha	adg
grebo	gec
macanese	mzs
reunion creole french	rcf
hlai	lic
afghan sign language	afg
baga sobane	bsv
sranan	srn
chantyal	chx
aguaruna	agr
ajyininka apurucayali	cpc
konkomba	xon
kanggape	igm
selepet	spl
omaha-ponca	oma
kumbaran	wkb
baruya	byr
ovdalian	ovd
nguluwan	nuw
kaansa	gna
nadruvian	ndf
nyindrou	lid
mambwe-lungu	mgr
dominican sign language	doq
elamite	elx
margi	mrt
miluk	iml
meskwaki	sac
northern sorsoganon	bks
lari	lrl
o'du	tyh
thulung	tdh
lindu	klw
uru-pa-in	urp
anong	nun
naasioi	nas
ukpet-ehom	akd
ambo-pasco quechua	qva
somba-siawari	bmu
lambichhong	lmh
lule	ule
kashubian	csb
turung	try
ido	ido
zhire	zhi
saliba	sbe
tiv	tiv
ashaninka	cni
nimboran	nir
dirim	dir
rogo	rod
kanan	zkn
khisa	kqm
canar highland quichua	qxr
nabay	kxi
hungarian sign language	hsh
guila zapotec	ztu
mokpwe	bri
wangkayutyuru	wky
ake	aik
khamti	kht
mongolian sign language	msr
madak	mmx
rer bare	rer
murrinypata	mwf
wumboko	bqm
babanki	bbk
tilung	tij
tiale	mnl
nigerian fulfulde	fuv
puyo	xpy
athpariya	aph
quebec french	fra
ngabere	gym
wojenaka	jod
busoa	bup
porohanon	prh
ijo	ijc
waneci	wne
hellenistic greek	grc
lovono	vnk
fanagalo	fng
ulster	gle
saxwe gbe	sxw
hijuk	hij
byangsi	bee
gera	gew
solos	sol
gimnime	gmn
wu chinese	wuu
degema	deg
wunumara	wnn
machinga	mvw
south central banda	lnl
lombard	lmo
guajajara	gub
maori	mri
nyungwe	nyu
votic	vot
teke-ebo	ebo
galice	gce
lepki	lpe
chavacano	cbk
chinali	cih
bay miwok	mkq
aguacateco	agu
lou	loj
swabian	swg
low german	nds
skou	skv
eastern highland otomi	otm
faroese	fao
badjiri	jbi
kaxarari	ktx
mazaltepec zapotec	zpy
sibe	nco
tsonga	tso
togoyo	tgy
yombe	yom
biao mon	bmt
bangba	bbe
keder	kdy
githabul	gih
hertevin	hrt
pangutaran sama	slm
jicarilla apache	apj
tchitchege	tck
aringa	luc
barasana-eduria	bsn
kaapor sign language	uks
sewa bay	sew
tamil	tam
jere	jer
mandinka	mnk
vwanji	wbi
tachoni	lts
bibbulman	xbp
burmese	mya
pyapun	pcw
baga manduri	bmd
bolia	bli
malinaltepec me'phaa	tcf
finongan	fag
kaningi	kzo
upper chehalis	cjh
tariana	tae
klamath-modoc	kla
mbugu	mhd
konjo	kjc
western krahn	krw
asaro'o	mtv
malas	mkr
warkay-bipim	bgv
northern bobo madare	bbo
lokaa	yaz
akum	aku
yameo	yme
zinza	zin
sialum	slw
wotapuri-katarqalai	wsv
west yugur	ybe
monde	mnd
archi	aqc
nyemba	nba
arritinngithigh	rrt
mapoyo	mcg
yinhawangka	ywg
ayizi	yyz
hanga	hag
antakarinya	ant
highland konjo	kjk
lenyima	ldg
dema	dmx
itza	itz
jemez	tow
paraguayan guarani	gug
pemon	aoc
kanjari	kft
tibea	ngy
dene suline	chp
mpumpong	mgg
temoaya otomi	ott
bo-ung	mux
tz'utujil	tzj
marka	rkm
bakhtiari	bqi
chulym	clw
chukchee	ckt
tuvinian	tyv
juang	jun
barakai	baj
nshi	nsc
central mnong	cmo
lendu	led
xiriana	xir
tepo krumen	ted
koyraboro senni songhay	ses
kumbewaha	xks
brooke's point palawano	plw
kinaray-a	krj
old slavonic	chu
lonzo	lnz
parsi-dari	prd
eastern huishui miao	hme
amri karbi	ajz
kinyarwanda	kin
monumbo	mxk
zo'e	pto
mocho	mhc
bonerif	bnv
sha	scw
belanda bor	bxb
laru	lan
sened	sds
mudhili gadaba	gau
takelma	tkm
korean	kor
chewong	cwg
uvean	uve
baras	brs
banggarla	bjb
yakut	sah
kulon-pazeh	uun
kaulong	pss
abom	aob
ventureno	veo
small flowery miao	sfm
pauri bareli	bfb
worimi	kda
middle high german	gmh
haveke	hvk
russian	rus
bentong	bnu
wemba wemba	xww
ibibio	ibb
acroa	acs
green gelao	giq
tidikelt tamazight	tia
taita	dav
border kuna	kvn
ibani	iby
wawa	www
kisan	xis
maaka	mew
ija-zuba	vki
hano	lml
buso	bso
glio-oubi	oub
vanimo	vam
ninia yali	nlk
mayangna	yan
masimasi	ism
cerma	cme
ehueun	ehu
latvian	lav
khao	xao
anakalangu	akg
bepour	bie
mewati	wtm
jacaltec	jac
central okinawan	ryu
kathu	ykt
north arabian	xna
maninka	emk
kisongo maasai	mas
mag-indi ayta	blx
fam	fam
yokuts	yok
southern sorsoganon	srv
gitua	ggt
el alto zapotec	zpp
aneme wake	aby
hupde	jup
ixcatec	ixc
sheng	swh
kuikuro-kalapalo	kui
miriwoong sign language	rsm
maring naga	nng
kam	kdx
lewo	lww
ilue	ilv
anam	pda
anasi	bpo
mazagway	dkx
waru	wru
kwama	kmq
bon gula	glc
kensiu	kns
faiwol	fai
wawonii	wow
luvale	lue
kotafon gbe	kqk
koromfe	kfz
ukue	uku
alutor	alr
french	fra
siuslaw	sis
nyam	nmi
chuukese	chk
lonwolwol	crc
koroni	xkq
salvadoran sign language	esn
taje	pee
zoogocho zapotec	zpq
san luis temalacayuca popoloca	pps
tobilung	tgb
sarikoli	srh
dongxiang	sce
vaiphei	vap
oirata	oia
namia	nnm
lelepa	lpa
piro	pib
bakwe	bjw
col	liw
chukwa	cuw
wadi wadi	xwd
kerak	hhr
chipaya	cap
phom naga	nph
amal	aad
wasa	wss
yis	yis
gilima	gix
mandarin chinese	cmn
cauca	cca
wardandi	wxw
central bai	bca
sajalong	sjl
suma	sqm
pye krumen	pye
alugu	aub
alsatian	gsw
kayaw	kvl
wampar	lbq
inuit sign language	iks
yareba	yrb
itik	itx
yagara	yxg
bidiyo	bid
sakirabia	skf
whitesands	tnp
tabo	knv
tohono o'odham	ood
dewoin	dee
southern qiandong miao	hms
kaningra	knr
zaramo	zaj
lengua de senas panamenas	lsp
tulishi	tey
salinan	sln
southwest gbaya	gso
