Cisalpine	1000013115
Kati	10001
Slovenian	10002
Tauade	10003
Tanapag	10004
Enawene-Nawe	10005
Seit-Kaitetu	10006
Rahambuu	10007
Sika	10008
Edo	10009
Kucong	10010
Moo	10011
Asturian	10012
Butmas-Tur	10013
Tupuri	10014
Guyani	10015
Gebarentaal	1355110016
Mobilian	10017
Lanima	10018
Campidanese	1001915518
Media	1002011129
Dolpo	10021
Ife	10022
Ganang	10023
Mbre	10024
Awiyaana	10025
Afrikaans	10026
Rarotongan	10027
Kereho	10028
Gresi	10029
Rufiji	10030
Kemberano	10031
Ghanaian	100321249716446,100321262712839
Yorta	1003310033,1003310033
Ngungwel	10034
Kalabra	10035
Rifao	10036
Ndengereko	10037
Sembakung	1003810712
Tula	10039
Giryama	10040
Moma	10041
Mingang	1004215088
Dirari	10043
Kumzari	10044
Lahanan	10045
No	100461432215831
Tlachichilco	1004716786
Mabaan	10048
Taman	10049
Yatay	10050
Rotokas	10051
Laz	10052
Rungwa	10053
Zulu	10054
Teso	10055
Ngomba	10056
Mondropolon	10057
Yeniche	10058
Limbum	10059
Giyug	10060
Huitepec	1006111251
Kistane	10062
Ugong	10063
Zhang-Zhung	10064
Miltu	10065
Teluti	10066
Alaska	178601006714513
Gunya	10068
Nkonya	10069
Maidu	1554710070,10070,1059810070,1786010070
Sened	10071
Gor	10072
Moksha	10073
Corongo	100741200717370
Modole	10075
Bozaba	10076
Tigon	1007717291
Cheq	1007817487
Niuatoputapu	10079
Wadikali	10080
Buli	10081
Coquille	10082
Toma	10083
Bashkir	10084
Sinicahua	1008511251
Tamil	1402410086,10086
Ayi	10087
Lushai	10088
Fula	10089
Chong	10090
Wariyangga	10091
Dibole	10092
Loma	10093
Sawila	10094
Ngalum	10095
Labo	1009615987,10096
Baule	10097
Kuruaya	10098
Ibanag	10099
Tangko	10100
Bardi	10101
Arha	10102
Minica	1010311991
Supyire	10104,1010410542
Bhele	10105
Zokhuo	10106
Ngurmbur	10107
Dionicio	11180101081612513589
Poumei	1010910167
Djinang	10110
Yeni	10111
Kosadle	10112
Zaiwa	10113
Kla-Dan	10114
Eipomek	10115
Coos	10116
Banda-Bambari	10117
Yukpa	10118
Talieng	10119
Ngoshie	10120
Churahi	10121
Hone	10122
Pictish	10123
Fa	1012413959
Waigali	10125
Lepcha	10126
Kpessi	10127
Linear	1012813829
Duau	10129
Dicamay	1013010308
Dhundari	10131
Kumbewaha	10132
Senggi	10133
Tuwuli	10134
Ile	1013517633
Sheshi	1013610839
South	10137144921249716446,101371470012187,140071463510137,1013714928,1540510137,1013715782,1013710891,101371399517141,1013714949,101371679117370,1013711857,1013710540,101371716316071,1013716028,1013712909,1013713482,1013717866,1013712629,1013717450,101371716317922,1013715561,101371532910222,1013714294,1013716371
Assamese	10138
Pinotepa	101391597411251
Ambakich	10140
Nambo	10141
Kerewo	10142
Mbugwe	10143
Mende	10144
